Nama,Ulasan,Tanggal,Pasar
Ranti MH,"Buat para iboek-iboek yang bilang kalau pagi ga sempat belanja, buang jauh-jauh alasan itu. Sore sepulang kantor bisa ke Pasar Giwangan.",2018-10-14,Giwangan
dian Kurniasih,Pasar Giwangan adalah pasar grosir sayuran. Rame ketika subuh hari. Tetletak disebelah utara terminal Giwangan. Tempatnya cukup luas.,2018-10-14,Giwangan
Taufiq Muhammad,"one of the market in jogja that is open at night, always crowded with car of fruit and vegetable car from village which direct at drop in this market for sale, various kinds of vegetable, fruit, chicken, freshwater fish, sea fish, all here with a relatively affordable price compared to prices in the department store ...",2018-10-14,Giwangan
Dhinka Puruhito,Aneka macam sayur dan buah nya lengkap. Tapi belum begitu hafal kalau mau beli apa tempatnya dimana.,2018-10-14,Giwangan
soleh anwari,Pasarnya besar banget....komplit mau cari keperluan dapur dan rumah tangga lengkap,2019-10-14,Giwangan
Hadi Suprasto,"Siang hari pasar sepi, walau pedagang yang berjualan tetap ada.",2019-10-14,Giwangan
Herlingga Aprilianti,"Dengan sayur sayuran yang lengkap, namun untuk kedepannya semoga lebih baik lagi dengan ditambah fasilitas parkiran yang tepat.",2019-10-14,Giwangan
Cherlina Efriyanti,Pasanya buka sampe malam. Jadi enak klo mau bagi yang mau belanja mendadak,2019-10-14,Giwangan
Ariev Prabowo,"Lengkap semua ada disini. ...
Harga murah meriah.... …",2018-10-14,Giwangan
Al Fitra,"Lumayan lengkap, enaknya kalau pergi naek motor nggak perlu turun kalau belanja.",2018-10-14,Giwangan
Mr. NONDOL,"Salah satu pasar dengan barang terlengkap di Jogja. Sayuran, buah dan kebutuhan lain ada disini.
Dekat dengan terminal.",2020-10-14,Giwangan
Ibnu Tridadi,Tersedia berbagai macam kebutuhan sayuran dan buah2an. Partai besar ataupun kecil.,2020-10-14,Giwangan
hendarto Dwi,Lumayan utk belanja kebutuhan rumah pd saat masak2 bersama keluarga.,2018-10-14,Giwangan
Nuryani Elisoni,"Kurang tertata aja sih,  tapi buat yg cari keperluan belanja malam hari cocok ☺",2019-10-14,Giwangan
Primadyo Hendraningtyas,"Pasar yang sangat lengkap dan harga terjangkau, tetapi jalanan yang sangat tak terawat, dan terkesan kumuh terutama saat hujan.",2019-10-14,Giwangan
Wiwik Sugiharti,"Belanja sayuran di pagi hari sekitar pukul 3 dini hari, harga lumayan murah",2018-10-14,Giwangan
Ayu DNWS,"Lengkap dan murah. Hampir semua pembeli mengendarai motor sambil belanja,bikin macet",2019-10-14,Giwangan
Yudi Kustanto,Pedagang dalam menghadapi pembeli yang buka langganannya akan dilayani kurang bagus...,2019-10-14,Giwangan
Yanti Yanti,"Ini pasar yg sangat bagus, banyak hal yg di jual disini. Aku menyukai a",2019-10-14,Giwangan
asep loempoer,"Lengkap, hnya sj msh campur aduk antra tmpt sayur, buah dn ikan..",2019-10-14,Giwangan
Edy Purwadi,"Pasar tradisional yg lengkap dan enak untuk belanja kebutuhan rumah harian atau pun untuk ""kulakan""",2019-10-14,Giwangan
Enung Sulastri,Salah satu pasar induk buah dan sayuran yang terletak di Yogyakarta. Pasar ini buka 24 jam.,2019-10-14,Giwangan
sigit supriyanto,"Klo hujan banyak kumbangan air, jadi terkesan becek. Semoga di benahi saluran airnya.",2019-10-14,Giwangan
Muhammad Misbah,Pasar sore-malam sebagai alternatif berbelanja yang cukup lengkap..,2019-10-14,Giwangan
aleyna Kazalkov,"Lengkap dan murah, hanyabsaja belanja di bulan ramadhan gini muacete puooll",2019-10-14,Giwangan
Edo Reii22,Enak deket sama kosan lama jadi ngga jauh' lagi ke pasar sama terminal sama kir juga deket,2017-10-14,Giwangan
Moon _Light,Pasarnya luas dan menyediakan banyak kebutuhan sehari-hari,2018-10-14,Giwangan
Dwi Yuli,Pasar terbesar dan paling lengkap bukanya sore sampai malam. Paling mudah jangkauannya dari segala arah.,2016-10-14,Giwangan
patriatmanta,Pasar induk untuk belanja sayur n buah di yogya.. 24 jam open daily,2017-10-14,Giwangan
Oppi R7s,"Pasar Giwangan adalah Pasar Induk Sayuran dan Buah Kota Yogyakarta, tempatnya strategis dekat Terminal induk Yogyakarta, dan di pinggir ring-road selatan yogyakarta.",2018-10-14,Giwangan
Fitriana Nur Maulida,"harga terjangkau,lumayan lengkap kalau mau cari sayur apa saja.",2019-10-14,Giwangan
Georgius Pradipta Daniswara,Pasarnya ramai tetapi jalannya agak sempit jadi harus hati-hati agak macet,2019-10-14,Giwangan
Asep Sudirman,"Lumayan ramai, tp untuk kebersihan nya harus ditingkatkan lagi",2019-10-14,Giwangan
Fasikha Ikha,"Barang yang dijual lengkap, buka sampai malam, lokasi mudah dicari",2019-10-14,Giwangan
febriani ariningtyas,Pasar sore lengkap.. Beli partai besar maupun kecil bisa,2020-10-14,Giwangan
Noor Rahmansyah,Pasar tradisional. Menyediakan bahan makanan pokok dengan harga terjangkau.,2017-10-14,Giwangan
Karis Abiyoga,"Pasarnya rapi, bersih, tempat parkir roda 2nya juga luas.",2019-10-14,Giwangan
Paijoe Luken,tempat belanja buah dan sayuran serta kebutuhan dapur anda siang dan malam,2020-10-14,Giwangan
Afri Zahro,"Banyak yg di jual disini,dari sayuran,daging,buah dll.. ada banyak rempah rempah juga..",2019-10-14,Giwangan
Mira Bela,Suka belanja disini sayurnya masih seger² dan murah 😆 …,2020-10-14,Giwangan
Putri indah,"Harga bersaing, rame disana jadi kadang buat jalanan macet.",2020-10-14,Giwangan
Merry Delvia Elsas,"ada nomor kontak pedagang buah2an terbesar di ps giwangan ga yaa? mohon info, tks",2018-10-14,Giwangan
Surya Anto,Harga nya sama aja dengan di luar kecuali kita beli nya satu keranjang,2020-10-14,Giwangan
Muhammat Nasichin,Belanja sayur sdan buah segar dengan harga yg relatif murah,2017-10-14,Giwangan
Fauzan Aji Dewantara,Pasar yang lengkap dan murah. Akan tetapi kotor jika setelah hujan.,2019-10-14,Giwangan
Nino Yulian,"tempat mudah dijangkau, barang yg dijual lengkap",2017-10-14,Giwangan
Muhammad Fatkhun,"Cocok untuk kulakan sayur dkk, kalo kesini malam",2017-10-14,Giwangan
YGY project,Pinter pinter aja milih penjual. Kadang kena mahal,2019-10-14,Giwangan
Twin Store,Lengkap belanja sayur buah murah segar,2019-10-14,Giwangan
Bayu Prabowo,Kl malem butuh daging atau sayur langsung kesini,2019-10-14,Giwangan
"Lepet . 12 .,",karna lokasi dekat terminal jd sangat gampang untuk dijangkau,2018-10-14,Giwangan
Soemaryoto,"Untuk kepentingan sehari hari kebutuhan keluarga, datang aja ke sini...!!",2019-10-14,Giwangan
kocak jigkrak jingkrak mbellgedes,Pasar yang rame khusus sayur n buah,2018-10-14,Giwangan
Surya Aditya Oetomo,"Salah satu pasar yang waktu beroperasinya hingga pagi atau malam hari, namun pembenahan masih harus dilakukan karena tidak adanya kejelasan lahan parkir yang akhirnya membuat kendaraan bermotor banyak yang belanja dengan parkir sembarangan …",2019-10-14,Giwangan
Danoe Sentosa,"Dimulai dari jam 1 pagi setiap harinya, bakalan banyak pedagang besar sayur/buah dari banyak penjuru provinsi jawa tengah yg akan menjual produk dagangnya di sini. Tapi masih perlu dibenahi lagi, terutama soal parkirinya.",2016-10-14,Giwangan
Mohammad Khaerul Azis,"Tempat yang recommended untuk belanja beraneka macam sayuran dan buah-buahan. Namun sayang, dari segi tempat penataannya kurang baik, becek ketika hujan
Kalau mau berbelanja di tempat ini usahakan setelah subuh, karena sekitar pukul 7 pasar sudah mulai sepi",2018-10-14,Giwangan
yuhaini yuhaini,"Pasar yg ada di daerah selatan yogyakarta sangat dekat dgn terminal giwangam😁iya dong sesuai namanya,,teman yg baru pindah ke yogya boleh sekali""belanja disini pasar ini terkenal dari pagi  sampai malam bukannya jadi jgn takut kalau lg …",2017-10-14,Giwangan
Sri Sukamti,Pasar induk Giwangan Yogyakarta .  Ini pasar pecahan dari pasar.  Sriwedari  dekat pasar Beringharjo . Krn sikon Jogja semakin berkembang .  Maka. Untuk.nemenuhi kebutuhan Tata ruang kota jogjakarta  .akhirnya. Pasar dipindah ke Giwangan . …,2018-10-14,Giwangan
Wiro Joyo,"Pengalaman saya ke sini lewat pintu selatan menggunakan mobil pribadi di suruh bayar karcis bongkar muat barang plus di suruh bayar parkir jugak, jadi mending naik sepeda motor aja ga pake bayar bongkar muat.",2019-10-14,Giwangan
Nida Uminya Ulfa,"Kacau arus lalu lintasnya sekelas pasar dalam kota, apalagi kalo sdh ada mobil yg lewat didalam pasar pas lagi rame2nya... Wuiiiih siap2 macet dah..makanya kadang males belanja disini tapi mo gimana lagi..barang yg dibutuhkan ada disini😒 …",2018-10-14,Giwangan
Tales of Digital Footprint,pasar yg dulu merupakan relokasi dari daerah taman pintar. lokasi luas namun masih semrawut untuk lalu lintas dan parkirnya. jam paling ramai antara subuh dan sore hari,2016-10-14,Giwangan
Indah Damay,"Murah, tetapi untuk parkir mobil agak sulit. Harus masuk ke gang2 dulu. Pasarnya masih tradisional sekali, blm tertata rapi dan kebersihan belum optimal",2018-10-14,Giwangan
Efi Makbolang,"Sayur yg dijual murah2, tp harus beli dlm jumlah byk..syg jauh dari rumah, coba dekat, bisa srg belanja disini",2020-10-14,Giwangan
Gerda Angelina,"Krn mukai dr blnj sayur mayur,bumbu dapur,buah,bahkan ayam ajah udh di satu tmpt dan gk perlu jln terlalu jauh utk mencari yg qta butuhkan",2020-10-14,Giwangan
Kania Rahmah Utami,"Jalannya rusak2 ga nyaman buat dilewatin apalagi kalo musim hujan, pemerintah jogja perlu kasih perhatian lebih nih apalagi ini kan pasar induk yaa.",2018-10-14,Giwangan
Hery Suryadi,"Pasar tradisional di kodya paling selatan,harga2 relatif murah karna merupakan pasar induk,tp tingkat kebersihan masih kurang",2018-10-14,Giwangan
suryantono selokojoyo,"Lengkap, murah... tapi layaknya stereotip pasar tradisional, tempatnya kotor apalagi selepas hujan",2018-10-14,Giwangan
heyapriliaa,Pasat sangat lengkap dan harganya murah. Buka 24 jam. Parkiran cukup luas. Dan cukup bersih.,2017-10-14,Giwangan
Bambang Prasetyo,"Banyak pembeli yg ga mau parkir motor, belanja tanpa turun bikin penuh sesak jalur jadi ga nyaman",2018-10-14,Giwangan
Mustafiq Fathanmubina,Rada ribet krn mobil bisa masuk tengah2 pasar...hrs full konsen biar gak kejebak macet di tengah pasar,2019-10-14,Giwangan
Refin Andana,"Kendaraan roda dua pembeli bersliweran diantara orang yg berjalan kaki utk belanja, membuat orang yg berjalan kaki hrs menepi ketepian jalan",2017-10-14,Giwangan
Azharudin Abdurachman,"Merupakan pasar induk, banyak tersedia bahan mentah makanan dan sayuran serta buah2an.",2017-10-14,Giwangan
Cah Yojo,Perlu ditingkatkan kebersihan dan keteraturan kiosnya..  Harga cukup terjangkau dan komplit,2019-10-14,Giwangan
Senjie Nurainii,"Harga ramah di kantong, dan masih bisa ditawar. Hanya saja kebersihannya saya rasa kurang",2018-10-14,Giwangan
nayla farida,"Menjual berbagai buah-buahan apa saja, pasar juga buka saat malam hari",2018-10-14,Giwangan
Fahmi Syaefudin GMX Chanel,Ternyata pasarnya gede juga.. Kalo masuk ke dalem jadi tau luasnya..,2018-10-14,Giwangan
Dion 1,Lebih bagus ny ksni klo mlam lbh komplit. Klo siang hari sepi penjual.,2019-10-14,Giwangan
Trito Hartono,Beli buah dipasara Giwangan harganya sama saja dengan di toko buah. Koleksi buahnya lengkap.,2020-10-14,Giwangan
saridi melodi,Masuk parkir khusus engkel bok Rp. 10000 untuk dua orang parkir 4000,2020-10-14,Giwangan
Gemericik Air,Niat iseng belanja ke giwangan malah bingung krn hrs beli kulakan 😁. Yg niat mau beli banyak silahkan kesini …,2017-10-14,Giwangan
Minati Pamela,"Lumayan lengkap, tapi harga cenderung mahal. Harus bisa membandingkan harga dan menawar.",2017-10-14,Giwangan
kurnia iman wibowo,"Jalan di dalam pasar banyak yang rusak, mobil pribadi sering masuk pasar bikin macet",2018-10-14,Giwangan
Fithria Asma,"Pasarnya cukup lengkap,  tapi memang seperti pasar,  kebersihan perlu ditingkatkan,,",2018-10-14,Giwangan
ari priyatmoko,Kurang rapi dan kurang bersih. .jalan dalam pasar sudah rusak di sebelah timur,2018-10-14,Giwangan
Windarti Win,Pasar induk buah dan sayur ..dr grosir sampai ecer bs dlayani dsini,2019-10-14,Giwangan
Priyo Agus,Lumayan baik tapi cuma jalan masuk ke pasarnya banyak yg rusak...,2019-10-14,Giwangan
Rizang Daru Nafian,"Kebersihan bisa lebih ditingkatkan lagi, banyak bau pesing dimana2",2020-10-14,Giwangan
pipit wulandari,Gak harus parkir motor bisa  naik mtr dg blanja,2019-10-14,Giwangan
anjar dwi purnomo,Jalannya dah rusak... Mobil boleh masuk... Jadi macet...,2019-10-14,Giwangan
danang suprapta,Harga standard..​Pedagangnya baik​ baik. Cm  penerangan kurang,2018-10-14,Giwangan
Rena Batik,24 h ..... cocok buat yg punya usaha kuliner,2016-10-14,Giwangan
Andrias Bambang KW,Jalannya sempit dan bergelombang. Nilai plusnya buka hingga malam,2017-10-14,Giwangan
AP Budi S,"Malam hari lebih gayeng
Kebutuhan sehari - hari lengkap tersedia di sini",2017-10-14,Giwangan
One ZeroZero,Jalan di dalam pasar masih rusak dan becek kalau hujan,2019-10-14,Giwangan
Nugroho Novianto,"Pasar Induk Kota Jogja, menyediakan aneka sayuran dan buah buahan",2018-10-14,Giwangan
Abyasa Zaalan,"Pasar sentral yogyakarta, dekat dengan terminal. Cocok untuk kulakan para pedagang kecil",2019-10-14,Giwangan
Adi Triyasa,"Adalah pasar induk di kota jogja, yg ramai di malam hari...",2019-10-14,Giwangan
Aulia Nugraheni,Masih ruwet pasarnya macam pasar minggu jaman saya sd 😂 …,2019-10-14,Giwangan
Utik *reenda handmade *,Sayang e buka klo sore ..jd klo siangan pada tutup,2019-10-14,Giwangan
Genta Sukardi,"Jalananya rusak, jd pada waktu musim hujan banyak genangan,,",2020-10-14,Giwangan
Farid Nyunyu,"Kurang nutrisi buah yg segar"" langsung aja kesini",2019-10-14,Giwangan
Rahayu,Cukup tersedia segala macam kebutuhan pokok,2018-10-14,Giwangan
Falah Arta,Mau cari buah ? Oke untuk belanja kulakan .,2019-10-14,Giwangan
sadex jr,"Lengkap, pintar nawar dapat murah, kurang bersih.",2017-10-14,Giwangan
Albertus Tanuwidjaya,Harus ditata lagi supaya bisa makin bersih dan rapi,2018-10-14,Giwangan
Wahyuni Arifin,Tempat belanja buah dg harga grosir,2019-10-14,Giwangan
Eres,Pasar tradisional cukup besar dan berdekatan dengan terminal Bus Giwangan,2017-10-14,Giwangan
Rin,pasar tradisional sore yang selalu ramai,2019-10-14,Giwangan
sri hartatik,Untuk masak malem selalu belanja disini krn disini .,2017-10-14,Giwangan
oemang official,Lengkap sayur n mayurnya...,2018-10-14,Giwangan
Dyan Ayu,Tempatnyaa rame. Buka setiap hari,2019-10-14,Giwangan
humairo blossoom,Kurang nyaman utk jalan ka ki,2019-10-14,Giwangan
phietroel ramadhani,Ayam potongnya g fresh..,2018-10-14,Giwangan
Amazing Owl,rame tapi tempat nya sempit 😥 …,2018-10-14,Giwangan
ruslina triastuti,"You can find any fruits you want, but it's little bit dirty.",2017-10-14,Giwangan
GAGA XCK,buah yg di cari zonk kurang pagiiiiii,2017-10-14,Giwangan
A A,Dulu sering beli ikan di pasar ini,2018-10-14,Giwangan
Sisri Yulianti,Pusat kulakan sayur mayur dan buah.,2019-10-14,Giwangan
Syafruddin Maulana,Lahan parkir masih harus dirapikan,2017-10-14,Giwangan
Andym Wijaya,Pasar traditional yg lumayan lengkap,2018-10-14,Giwangan
Peri Manoer,Biasa seperti pasar pada umumnya,2019-10-14,Giwangan
Rizki Yudi Asmanto,Komplit untuk cari sayur dan buah,2017-10-14,Giwangan
Wikan 391,"Agak padat, namun bahan makanan lengkap",2017-10-14,Giwangan
Muhammad Tigran,Kalo pagi parkirnya crowdit,2019-10-14,Giwangan
alfa aquero,Pedagangnya ramah.,2017-10-14,Giwangan
hendra “hendraa.py” prasetyawan,pasar induk sayur dan buah Jogjakarta,2019-10-14,Giwangan
noor wbs,Tempat kulak buah dan sayur,2019-10-14,Giwangan
tikin aja,"Lengkap, tpi masih semrawut juga.",2020-10-14,Giwangan
Petrus Hendrawan,Pasar tradisional harga murah,2019-10-14,Giwangan
Amira Siregar,Pasar grosir buah dan sayuran,2019-10-14,Giwangan
TaWoN AR,Pasar sayur lengkap,2017-10-14,Giwangan
Vio Vio,Lumayan lengkap dan  ramai,2019-10-14,Giwangan
Rio Martinez Iriadi,Ikan nya dikit mahal,2020-10-14,Giwangan
SUMINAH ISTIANA,Selayaknya pasar traditional,2018-10-14,Giwangan
Bara Gumilang,Pasar yg komplit,2017-10-14,Giwangan
Monmon,Pasar tradisional di Jogja 👍 …,2018-10-14,Giwangan
bagas Pramusinto,Pasar yg dekat dengan terminal giwangan,2020-10-14,Giwangan
Lilik Budi Setiyawan,Komplit dan murah,2018-10-14,Giwangan
Eka,Tempat belanja asyik,2017-10-14,Giwangan
Nday Pyong,Lumayan rapih dan bersih,2018-10-14,Giwangan
ade subhan,Tradirional market near from ringroad,2019-10-14,Giwangan
Ahmad Yulip,Murah meriah,2018-10-14,Giwangan
Yoyon Pratama,Pasar tradisional/rakyat...,2020-10-14,Giwangan
AS SLY,Tuku jeruk nipis,2018-10-14,Giwangan
Budi Pramono,Tempat belanja sayuran di Yogyakarta,2017-10-14,Giwangan
dany prabowo,Murah sih tapi,2019-10-14,Giwangan
Lilik Widiastuti,Kurang tertata,2019-10-14,Giwangan
SERBANEKA DUNIA,Kumuh...,2018-10-14,Giwangan
Adtya Adtyawan,Pasar induk buah dan sayur,2017-10-14,Giwangan
Doni Algazi,Kurang rapi,2019-10-14,Giwangan
wahyu kuncoro,Kebersihan kurang,2017-10-14,Giwangan
Bakmie Jawa Pak Budi,Pasar buah jogja karta,2020-10-14,Giwangan
KONPIBER,Strategis,2019-10-14,Giwangan
Anjas Kotagede,Pasar buah. Pasar tradisional.,2020-10-14,Giwangan
Agra Ri,Ramai,2018-10-14,Giwangan
achmad sugianto,Lumayan,2018-10-14,Giwangan
Rizki NS,Ini dari pintu timur,2017-10-14,Giwangan
Peci Santri Official,traditional market of Giwangan,2018-10-14,Giwangan
Yossi Atmaja D,Pasar tradisional,2018-10-14,Giwangan
radith ndaru,Pasar malam,2018-10-14,Giwangan
Septian Budi,Pasar giwangan,2018-10-14,Giwangan
Opopopopo channel,"""Pembeli adalah Raja""tidak berlaku dipasar ini,pelayanan buruk,tdk sprti pdagang ramah pd umumnya.Kalo udh kaya/ga butuh uang ya ga usah jualan lah,,nyesel&gak bakal kesana lagi",2020-10-14,Giwangan
Azhaar safiy zulfaqar,Seringnya ql ksni macet krna mobil bebas masuk ksni..motor jga bersliweran seenaknya..kdg belinya dri atas motor..lbh baik lgi ql dikasi parkir yg kondusif disisi pasar..jdi gk semrawut,2019-10-14,Giwangan
Ismawan S chanel,Malam rame pasarnya,2019-10-14,Giwangan
untung satriyo Soekirman,Pasar tradisional namun lengkap sayuran dan rempah,2019-10-14,Giwangan
Sumedi Sumedi,Lumayan rame n murah,2018-10-14,Giwangan
Untung Satriyo Soekirman,Lengkap namun kotor,2019-10-14,Giwangan
Nur Puji Lestari,Iya,2019-10-14,Giwangan
Noviana Wab,Jauh sekali,2017-10-14,Giwangan
Ryans Agas,"Kumuh, kurang terawat",2018-10-14,Giwangan
Arsyila 0401,Ramai,2019-10-14,Giwangan
aries indo,bagus,2018-10-14,Giwangan
Secure Toast Cheese,Preman edan,2019-10-14,Giwangan
raehana gahari,toko2nya buka dipinggiran jalan.pembeli biasanya pake motor tanpa turun.tp banyak juga yg jalan. crowded super. tapi pasar ini nyaris 24 jam. fresh vegetables dropped in the middle of the night.n u xam directly buy at that time,2018-10-14,Giwangan
Afnan Harifi,"Pasar yang lengkap untuk segala macam kebutuhan, harganya bersahabat. Sayang tempatnya becek kalau hujan. Bisa lebih diperbaiki supaya menjadi pasar yang menyenangkan buat semua orang.",2016-10-14,Giwangan
KARTELIUS _123,24 jam lengkap semua sayur buah2 an dll,2019-10-14,Giwangan
Muhamad Ridho S,Masih pasar tradisional blm terkonsep pasar modern,2017-10-14,Giwangan
SJ. CHANNEL,Cukup membuat bahagia untuk shooping di sini,2018-10-14,Giwangan
Sigit Yuniantoro,Gak ada warung makan,2020-10-14,Giwangan
Arinzz Arina,Hasil lautnya mahal,2017-10-14,Giwangan
BOCIL GUNUNG CHANEL,Bau dan blm nyaman,2020-10-14,Giwangan
iesti rahandy,Panas dan ramai,2017-10-14,Giwangan
Susilo Pradyardono,Nggak rapi,2019-10-14,Giwangan
Ayoc Dwi,Kurang rapi,2020-10-14,Giwangan
suparno om,Lumayan resik,2018-10-14,Giwangan
endra setiawan,biasa saja....,2018-10-14,Giwangan
HANUM S.,Pasar induk kota yogyakarta,2017-10-14,Giwangan
ADZRIELTRANS jasa angkut jogja,Belanja,2018-10-14,Giwangan
Krisna Yuda,kotor,2018-10-14,Giwangan
Farid wans,Oke,2018-10-14,Giwangan
widhie jogja,Goceries,2017-10-14,Giwangan
Sugata,Up,2017-10-14,Giwangan
Nurwahiddatur Rohman,"Baru ini saya belanja sakit hati.

Mau beli roti panggang di Toko Bayu. …",2022-10-14,Kotagede
Umi Rofida,"Kurir tidak profesional, suka ngundur² jadwal pengiriman, masa iya paket saya 2 kali diundur, kurir slowespon, seenaknya sendiri",2024-02-14,Kotagede
rini sulistiawati,Pasar yang sudah jadi icon dikotagede saya sering bolak balik kepasar legi karena tempatnya Deket dan ok lah pokoknya,2024-02-14,Kotagede
Ojo Cidro Official,harus nunggu korban dulu ya baru bagus pelayananya? rumasakit bobrok!!,2024-04-14,Kotagede
Fadjari Wibowo,"Ini Pasar tradisional yang memiliki sejarah panjang. Berada dekat makam2 Raja di Kotagede. Pagi hari didominasi sayur dan keperluan rumah tangga, kalau sore hari banyak dijual jajanan pasar dan makanan matang. Setiap pasaran Legi, banyak yang menjual burung dan sejenis.",2020-10-14,Kotagede
Sri Sukamti,Pasar Kotagede. Pasar tradisional. Yg aktifitasnya dari pagi   .  Sampai sore  malam. .khusus untuk yg diluar.  Biasanya khusus segala macam. makanan. Lauk pauk dan Snack .   Selalu ramai.     Senang lihat masyarakat bertransaksi.   . …,2020-10-14,Kotagede
Nur Wiat,Sempit kurang sehat,2024-08-14,Kotagede
Endyharto AH,Unik klu.pagi pedagang sayuran di tepi jalan.mudah untuk belanja tp.kasian yg.py.lapak didalam pasar.pembeli berkurang banyak,2022-10-14,Kotagede
Mari Marianti,"Pijet mantap. Ahli syarat, InsyaAllah.
Recomended ikhtiar sembuh.",2024-01-14,Kotagede
Gilang Mebel,Mengadyikan di ksla menjelang petang dan ada wisata religi,2024-02-14,Kotagede
hesti endah,Rame macet jalan ketu2p sama parkiran motor n penjual yg meluber di pinggir jalan....,2023-10-14,Kotagede
Lindu Aji,"Pasar klasik penuh sejarah kerajaan mataram lama, biasa ramai di pasaran legi penanggalan jawa ,dekat dengan masjid besar peninggalan kerajaan mataram islam sultan agung",2019-10-14,Kotagede
tri rakhmat haryono,Pasar tradisional tempatnya juga bersih tpi terkadang slokanya sering tuk buang air kotor fri pedagang,2019-10-14,Kotagede
Fredy Guling,"Kondisi masih kumuh, harus direnovasi dgn design modern tanpa meninggalkan nilai sejarahnya, parkir yg amburadul",2020-10-14,Kotagede
Properti Hot Deal,"Lewat pasar ini, harus hapal hari jawa..karena setiap pasaran legi pasti penuh sesak. Suasana seperti pasar desa ...",2019-10-14,Kotagede
agus Subagyo,Aplgi kalo kunjung kesana hari pasaran Legi maka akan didapati komplit dr pasar hewan maupun lainnya,2020-10-14,Kotagede
deraLOVA,"parkir kendaraan sangat berantakan, tolong segera di tata karna petugas parkir belum bisa.",2021-10-14,Kotagede
Arief Rmadia,Sudah beberapa kali isi nama Jalan dan tidak di update,2024-01-14,Kotagede
Pramudya Wani perih,Ngpunten tenan saya kurang puas dengan pelayanan ne jenengan mas 🙏 …,2023-10-14,Kotagede
Sunaryadi Yadi,"Pasar tradisional.

Kota gede...menjual barang kebutuhan rumah tangga.dl",2022-10-14,Kotagede
Fitriani Sulaiman,"Parkirnya dijalan bikin macet,pedagang buang sampah ke dalam drainase",2020-10-14,Kotagede
Yanu Nugroho,D map masih ad tp warung y dah gak ad,2022-10-14,Kotagede
taat santoso,cukup rame tak ada petugas satgas COVID-19,2021-10-14,Kotagede
Slamet Djogja,"Pasar LEGI kota gede tempat belanja yang murah,nyaman dan aman",2018-10-14,Kotagede
Trisno Irawan,"Pasar yg harganya murah"" untuk belanja",2021-10-14,Kotagede
Mul Handayani,Pasar daerah kota gede jogjakarta yang ramai dan sangat rekomended,2019-10-14,Kotagede
Serly motor Jogja,Ready segala part mtr,2023-10-14,Kotagede
Subagiyo Rudi ahyadi,Pasar gede didirikan sejak jaman Mataram kotagede,2021-10-14,Kotagede
Walji Yono,Tukang parkir yg seb timur nyebelin  nambah emosi,2020-10-14,Kotagede
Yugo Priyono,Ramai...,2024-01-14,Kotagede
Rusman Saroso,Gayeng penuh sesak orang orang yg nonton burung,2018-10-14,Kotagede
Nana Dwi Andari,"Parkir susah, sering macet, kotor dan bau.",2019-10-14,Kotagede
Ade Sulastri,"Bagus ... Ramai, tertib kumplit 🙏🏻 …",2021-10-14,Kotagede
Fatin Sufaera,Pedagangnya banyak yg galak,2020-10-14,Kotagede
Andika Sukmono Aji,Tempat bertukar cerita dan berbagi kegembiraan,2021-10-14,Kotagede
husna putra,Sdh tidak jualan ST,2022-10-14,Kotagede
Adek Boneng,"Pernah kecopetan hp, keamanan kurang.",2020-10-14,Kotagede
Rini Warih,Kurang nyaman setiap hari pasaran,2018-10-14,Kotagede
Umsinah Rico22,Aman mandali,2024-01-14,Kotagede
Heru Yanto,Bagus.cuma parkir motor bikinmacet,2019-10-14,Kotagede
Suratno 1,Macet kalau pas pasaran LEGI,2019-10-14,Kotagede
Robert Lau,Bagus rame pengunjung,2022-10-14,Kotagede
Fajar Afrianto,"Kotor, macet, semrawut, toilet menyebalkan",2019-10-14,Kotagede
tri satriyo,Sempit jalannya,2021-10-14,Kotagede
IING KHOERIYAH,Pasar nya bersih dari sampah,2020-10-14,Kotagede
Aknessa Oktaviyanti Oktaviyanti,Pelayanan kurang ramah,2023-10-14,Kotagede
Wah Yudi,Buat SIM C,2022-10-14,Kotagede
Tupan Fan,Ngopi,2022-10-14,Kotagede
Eny Ragil,Tiap legi jalanan macet,2016-10-14,Kotagede
Gandung Mugiyono,Ramai jam ketja,2019-10-14,Kotagede
bligon mayron,Lg mau coba,2022-10-14,Kotagede
Antie Jolie,Nyari kebutuham sayur mareeee,2017-10-14,Kotagede
HSN KONFEKSI n Konfermasi,Sangat rame,2021-10-14,Kotagede
Fatimah Swif,Tidak,2019-10-14,Kotagede
Inarti Naert,Pasar seng adem ayem,2021-10-14,Kotagede
Ridwan Yunianto,Sangat menghibur,2021-10-14,Kotagede
Sukirno Penjas,Bagus,2023-10-14,Kotagede
Imam Wicaksono,Semrawut,2023-10-14,Kotagede
Kikin Prabowo,Sangat bagus,2021-10-14,Kotagede
Im Wan,Ya ga perna masuk sih,2020-10-14,Kotagede
Mas Putra,Baik,2023-10-14,Kotagede
Arie Wibowo,Jalan terlalu sempit,2020-10-14,Kotagede
Cemploex Poniran,Banyak kecoa dan tikus,2020-10-14,Kotagede
Winarno Rafi,Mahal,2022-10-14,Kotagede
Bahagia Niqmats,Kumuhhh cuk,2019-10-14,Kotagede
Sitta Fathurrohman,Bagus,2021-10-14,Kotagede
Abri Yansyah,Jelek,2021-10-14,Kotagede
arsyila ramania,Rame,2021-10-14,Kotagede
R 73,Bagus,2022-10-14,Kotagede
AJISAKA joga,Joss,2020-10-14,Kotagede
